hospital_name,last_updated_on,version,hospital_location,hospital_address,license_number|CA,"To the best of its knowledge and belief, the hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date indicated.",,,,,,,,,,,,,,,,
Nitroglycerin in Dextrose inj 50 mg/250ml Premixed bottle,250,RC,,,425000113,CDM,both,,,78.75,19.69,,,,,,,,,,,hospital's standard charge pricing
Nitrostat 0.4mg SL tab,250,RC,,,425000114,CDM,both,,,5.66,1.42,,,,,,,,,,,hospital's standard charge pricing
Ipratropium .02% Neb soln,250,RC,,,425000117,CDM,both,,,1.00,0.25,,,,,,,,,,,hospital's standard charge pricing
Lidocaine Viscous 2% Oral 15ml,250,RC,,,425000119,CDM,both,,,19.64,4.91,,,,,,,,,,,hospital's standard charge pricing
Promethazine 25 mg tab,250,RC,,,425000126,CDM,both,,,1.00,0.25,,,,,,,,,,,hospital's standard charge pricing
Phenobarbital 65mg/ml inj,250,RC,J2560,HCPCS,425000128,CDM,both,,,147.59,36.90,,,,,,,,,,,hospital's standard charge pricing
Trimeth/Polymyxin B opth soln,250,RC,,,425000129,CDM,both,,,36.23,9.06,,,,,,,,,,,hospital's standard charge pricing
Potassium Chloride 20 meq tab,250,RC,,,425000130,CDM,both,,,2.52,0.63,,,,,,,,,,,hospital's standard charge pricing
"Propofol 1,000mg/100mL inj",250,RC,J2704,HCPCS,425000132,CDM,both,,,0.76,0.19,,,,,,,,,,,hospital's standard charge pricing
Flumazenil 0.5mg/5mL inj,250,RC,,,425000135,CDM,both,,,22.75,5.69,,,,,,,,,,,hospital's standard charge pricing
Racepinephrine 2.25% soln,250,RC,,,425000137,CDM,both,,,5.25,1.31,,,,,,,,,,,hospital's standard charge pricing
Sodium bicarb 4% Neut 5 ml,250,RC,,,425000139,CDM,both,,,25.17,6.29,,,,,,,,,,,hospital's standard charge pricing
Timolol 0.5% Ophtalmic Drops,250,RC,,,425000144,CDM,both,,,33.95,8.49,,,,,,,,,,,hospital's standard charge pricing
Vasopressin 20u inj,250,RC,,,425000147,CDM,both,,,690.23,172.56,,,,,,,,,,,hospital's standard charge pricing
Acetamino. 160mg/5ml elixir,250,RC,,,425000148,CDM,both,,,3.15,0.79,,,,,,,,,,,hospital's standard charge pricing
Acetaminophen 650 mg supp,250,RC,,,425000150,CDM,both,,,1.00,0.25,,,,,,,,,,,hospital's standard charge pricing
Acetaminophen 325 mg tab,250,RC,,,425000151,CDM,both,,,0.50,0.13,,,,,,,,,,,hospital's standard charge pricing
Acetaminophen 500 mg tab,250,RC,,,425000152,CDM,both,,,0.50,0.13,,,,,,,,,,,hospital's standard charge pricing
Acetaminophen 120 mg supp,250,RC,,,425000153,CDM,both,,,1.08,0.27,,,,,,,,,,,hospital's standard charge pricing
Tramadol 50 mg tab,250,RC,,,425000155,CDM,both,,,1.00,0.25,,,,,,,,,,,hospital's standard charge pricing
Sodium bicarb 8.4% 50 ml,250,RC,,,425000156,CDM,both,,,62.65,15.66,,,,,,,,,,,hospital's standard charge pricing
Diazepam 5 mg tab,250,RC,,,425000157,CDM,both,,,1.00,0.25,,,,,,,,,,,hospital's standard charge pricing
Sodium bicarb 8.4% pedi 10 ml,250,RC,,,425000158,CDM,both,,,375.55,93.89,,,,,,,,,,,hospital's standard charge pricing
Vecuronium 10 mg/10 ml inj,250,RC,,,425000159,CDM,both,,,15.40,3.85,,,,,,,,,,,hospital's standard charge pricing
Lidocaine Viscous 2% 100mL,250,RC,,,425000162,CDM,both,,,5.78,1.45,,,,,,,,,,,hospital's standard charge pricing
Phytonadione 10 mg/ml inj (per 1mg),250,RC,J3430,HCPCS,425000163,CDM,both,,,14.97,3.74,,,,,,,,,,,hospital's standard charge pricing
